City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
albany,20,US,4,41,42.65,-73.75,24.8,14.99
ponta do sol,92,BR,4,87,-20.63,-46,66.82,4.05
bluff,64,AU,4,54,-23.58,149.07,81.13,14.67
ilulissat,75,GL,4,78,69.22,-51.1,12.2,4.7
asyut,0,EG,4,53,27.18,31.19,51.8,8.05
kodiak,1,US,4,51,39.95,-94.76,17.01,13.87
bengkulu,,,,,,,,
severo-kurilsk,64,RU,4,100,50.68,156.12,23.12,8.3
hami,36,CN,4,56,42.84,93.51,27.76,3.94
mataura,0,NZ,4,68,-46.19,168.86,75.99,1.01
tecoanapa,20,MX,4,74,16.99,-99.26,82.4,9.17
smidovich,12,RU,4,57,48.6,133.81,26.14,2.59
tasiilaq,0,GL,4,100,65.61,-37.64,3.01,4.27
palabuhanratu,,,,,,,,
torbay,90,CA,4,92,47.66,-52.73,26.01,19.46
mackenzie,1,CA,4,41,55.34,-123.09,21.2,11.41
taolanaro,,,,,,,,
isangel,20,VU,4,74,-19.55,169.27,86,5.82
touros,40,BR,4,100,-5.2,-35.46,77,3.36
pangnirtung,75,CA,4,64,66.15,-65.72,-0.41,3.36
khatanga,64,RU,4,80,71.98,102.47,3.82,10.76
dikson,80,RU,4,91,73.51,80.55,3.01,27.31
belushya guba,,,,,,,,
mendahara,,,,,,,,
hammerfest,75,NO,4,72,70.66,23.68,15.8,31.09
punta arenas,40,CL,4,100,-53.16,-70.91,46.4,23.04
asahikawa,75,JP,4,92,43.76,142.37,24.8,2.24
huai yot,0,TH,4,88,7.79,99.63,69.11,2.15
pevek,48,RU,4,88,69.7,170.27,3.86,5.95
khotynets,92,RU,4,91,53.13,35.4,40.94,14.45
wenling,92,CN,4,75,28.38,121.38,50,3.94
cape town,0,ZA,4,82,-33.93,18.42,64.99,13.87
chapais,75,CA,4,59,49.78,-74.86,3.2,4.7
shubarshi,80,KZ,4,88,48.59,57.19,25.42,15.12
jamestown,44,AU,4,100,-33.21,138.6,68.8,4.27
barcelos,40,PT,4,76,41.53,-8.62,55.4,8.05
rikitea,20,PF,4,96,-23.12,-134.97,81.71,14
hobart,75,AU,4,63,-42.88,147.33,69.01,6.93
georgetown,75,GY,4,78,6.8,-58.16,80.6,6.93
asau,,,,,,,,
margate,75,AU,4,63,-43.03,147.26,69.01,6.93
bambous virieux,40,MU,4,83,-20.34,57.76,78.8,4.7
beringovskiy,0,RU,4,86,63.05,179.32,31.27,17.13
viedma,0,AR,4,41,-40.81,-62.99,64.61,7.96
awjilah,0,LY,4,86,29.14,21.3,48.73,8.19
tsihombe,,,,,,,,
saskylakh,44,RU,4,27,71.97,114.09,-19.32,7.18
carnarvon,0,ZA,4,55,-30.97,22.13,63.76,11.77
sai buri,0,TH,4,86,6.7,101.62,66.1,2.26
genova,20,IT,4,93,44.41,8.93,53.01,5.82
east london,88,ZA,4,100,-33.02,27.91,71.95,17.92
lyambir,80,RU,4,91,54.28,45.12,25.19,7.18
kommunisticheskiy,56,RU,4,79,61.68,64.48,9.89,5.17
rungata,,,,,,,,
vardo,1,US,4,42,39.62,-77.74,35.6,11.41
butaritari,76,KI,4,100,3.07,172.79,82.93,19.48
tura,92,IN,4,94,25.52,90.21,59.39,2.93
lorengau,24,PG,4,100,-2.02,147.27,82.12,6.73
kaitangata,0,NZ,4,66,-46.28,169.85,69.01,4
lagoa,75,PT,4,93,37.14,-8.45,59,6.93
ixtapa,20,MX,4,78,20.71,-105.21,78.8,9.17
pachino,0,IT,4,65,36.72,15.09,45,14
new norfolk,75,AU,4,63,-42.78,147.06,69.01,6.93
karaton,75,ID,4,88,-6.34,106.1,75.2,2.24
saint george,0,GR,4,75,39.45,22.34,42.8,2.37
port alfred,44,ZA,4,93,-33.59,26.89,66.99,5.01
ushuaia,75,AR,4,57,-54.81,-68.31,50,11.41
victoria,75,BN,4,83,5.28,115.24,78.8,2.24
mar del plata,48,AR,4,49,-46.43,-67.52,59.39,16.91
porto novo,75,BR,4,78,-23.68,-45.44,73.4,1.12
atikokan,64,CA,4,56,48.76,-91.62,5.21,7.96
san patricio,12,PY,4,51,-26.98,-56.83,81.26,5.17
bethel,90,US,4,93,60.79,-161.76,37.4,10.29
puerto ayora,75,EC,4,74,-0.74,-90.35,82.4,9.17
atuona,36,PF,4,100,-9.8,-139.03,81.62,14.67
dhali,20,IN,4,83,10.5,77.17,75.2,3.36
biak,8,ID,4,89,-0.91,122.88,81.76,2.82
benguela,48,AO,4,100,-12.58,13.4,79.46,5.61
faanui,36,PF,4,100,-16.48,-151.75,82.93,6.4
busselton,0,AU,4,46,-33.64,115.35,64.99,26.87
bardiyah,,,,,,,,
hermanus,68,ZA,4,87,-34.42,19.24,63,3.83
hilo,90,US,4,56,19.71,-155.08,73,10.29
vaini,0,IN,4,86,15.34,74.49,56.69,1.03
daura,0,NG,4,22,13.04,8.32,72.89,10.98
mahebourg,40,MU,4,83,-20.41,57.7,78.8,4.7
ovsyanka,0,RU,4,59,53.58,126.91,10.21,7.29
sao filipe,0,CV,4,90,14.9,-24.5,72.13,16.69
gannan,12,CN,4,70,47.92,123.49,27.22,15.68
kapaa,90,US,4,53,22.08,-159.32,75.2,21.92
tuatapere,0,NZ,4,68,-46.13,167.69,75.99,1.01
upernavik,88,GL,4,100,72.79,-56.15,9.94,5.06
qinhuangdao,80,CN,4,58,39.94,119.59,38.51,2.59
illoqqortoormiut,,,,,,,,
tarsus,75,TR,4,93,36.92,34.88,54,4.7
klaksvik,80,FO,4,98,62.23,-6.59,39.2,18.34
alofi,75,NU,4,66,-19.06,-169.92,84.2,16.11
narrabri,0,AU,4,32,-30.33,149.78,80.6,13.87
noumea,40,NC,4,62,-22.28,166.46,87.8,5.82
anar darreh,,,,,,,,
nokaneng,0,BW,4,37,-19.66,22.19,79.19,10.54
barentsburg,,,,,,,,
qandahar,,,,,,,,
qaanaaq,24,GL,4,92,77.48,-69.36,-8.16,5.61
ostrovnoy,8,RU,4,68,68.05,39.51,-2.31,12.33
broken hill,8,AU,4,28,-31.97,141.45,82.4,13.87
atambua,12,ID,4,100,-9.11,124.89,78.11,4.16
sola,75,NO,4,93,58.89,5.65,42.01,3.36
hualmay,20,PE,4,74,-11.1,-77.61,73.48,3.71
berlevag,75,NO,4,85,70.86,29.09,14,26.4
saint-philippe,1,CA,4,37,45.36,-73.48,21.2,21.92
copiapo,75,CL,4,77,-27.37,-70.33,64.4,10.29
umm lajj,0,SA,4,100,25.02,37.27,54.4,4.38
belmonte,56,PT,4,83,40.36,-7.35,50,2.59
clyde river,75,CA,4,91,70.47,-68.59,-4.01,5.82
constitucion,5,MX,4,6,23.99,-104.67,84.2,18.34
maryville,1,US,4,19,40.35,-94.87,12.99,16.11
greenfield,1,US,4,50,42.59,-72.6,30.2,8.05
mount gambier,90,AU,4,77,-37.83,140.78,64.4,8.05
pabrade,0,LT,4,93,55,25.78,41,10.29
kondinskoye,44,RU,4,85,59.65,67.41,10.21,4.16
chuy,80,UY,4,64,-33.69,-53.46,79.6,8.08
san andres,64,PH,4,100,13.32,122.68,78.7,13.56
prince rupert,1,CA,4,30,54.32,-130.32,41,8.05
coron,0,FR,4,87,47.13,-0.65,44.01,8.05
airai,8,TL,4,81,-8.93,125.41,76.09,1.59
souillac,90,FR,4,87,45.6,-0.6,48.99,9.17
port elizabeth,1,US,4,47,39.31,-74.98,37.4,8.05
warqla,,,,,,,,
havre-saint-pierre,90,CA,4,92,50.23,-63.6,19.4,14.99
chicama,75,PE,4,78,-7.84,-79.15,77,10.29
yellowknife,20,CA,4,61,62.45,-114.38,12.2,19.46
norman wells,75,CA,4,79,65.28,-126.83,23,3.36
barrow,0,AR,4,46,-38.31,-60.23,63.04,5.61
ouargaye,0,BF,4,30,11.5,0.06,72.62,5.39
izhevskoye,64,RU,4,91,54.56,40.87,31.81,9.98
cherskiy,48,RU,4,75,68.75,161.3,2.69,7.63
funtua,0,NG,4,69,11.52,7.31,68.17,2.48
gdansk,75,PL,4,75,54.35,18.65,44.01,21.92
muisne,40,EC,4,79,0.61,-80.02,84.2,8.05
camopi,48,GF,4,79,3.17,-52.33,76.49,3.71
provideniya,90,RU,4,80,64.42,-173.23,30.2,8.95
austin,90,US,4,37,30.27,-97.74,37,9.17
jiuquan,24,CN,4,74,39.73,98.49,9.44,2.59
moranbah,8,AU,4,55,-22,148.04,79.24,14.56
waitati,20,NZ,4,69,-45.75,170.57,75.77,8.08
chokurdakh,48,RU,4,68,70.62,147.9,-15.27,3.38
colares,20,PT,4,87,38.8,-9.45,57.99,4.7
vanavara,80,RU,4,91,60.35,102.28,20.56,4.38
nikolskoye,75,RU,4,92,59.7,30.79,27,6.71
guerrero negro,64,MX,4,60,27.97,-114.04,66.37,11.43
rockingham,0,GB,4,86,52.52,-0.72,39.99,13.87
arraial do cabo,76,BR,4,90,-22.97,-42.02,80.77,12.44
geraldton,90,CA,4,65,49.72,-86.95,3.2,3.36
san cristobal,75,EC,4,77,-0.39,-78.55,62.6,6.93
ravar,0,IR,4,36,31.27,56.81,32.21,4.38
mys shmidta,,,,,,,,
san juan,75,PH,4,69,14.6,121.03,80.6,6.93
ambilobe,0,MG,4,95,-13.19,49.05,72.04,3.15
olinda,75,EC,4,74,-2.03,-79.75,84.2,8.05
havelock,40,US,4,66,34.88,-76.9,48.2,9.17
neiafu,75,TO,4,70,-18.65,-173.98,84.2,9.17
setubal,24,AR,4,81,-31.5,-60.68,75,1.99
hasaki,40,JP,4,81,35.73,140.83,44.6,8.05
aflu,,,,,,,,
ontario,90,US,4,58,34.07,-117.65,64.4,5.82
roblin,56,CA,4,83,51.23,-101.35,11.69,15.23
sanchursk,0,RU,4,78,56.94,47.25,12.01,6.51
baghmara,76,IN,4,93,23.8,86.21,62.59,2.59
okha,0,RU,4,86,53.59,142.95,4.72,11.32
bonthe,0,SL,4,87,7.53,-12.5,77.71,5.39
tabas,80,IR,4,46,33.6,56.92,42.74,4.38
vila franca do campo,75,PT,4,93,37.72,-25.43,62.6,23.04
kushima,40,JP,4,75,31.5,131.29,46.4,6.93
thompson,75,CA,4,59,55.74,-97.86,3.2,8.05
te anau,20,NZ,4,66,-45.41,167.72,68.44,13.56
isla mujeres,40,MX,4,74,21.23,-86.73,80.6,10.29
marystown,92,CA,4,100,47.17,-55.16,30.99,28.1
lincoln,1,US,4,43,40.8,-96.67,16,16.11
lebu,32,ET,4,93,8.96,38.73,48.14,2.59
avarua,88,CK,4,61,-21.21,-159.78,82.4,9.17
wanning,90,AT,4,65,48.64,13.53,44.6,24.16
tommot,76,RU,4,72,58.97,126.27,11.29,7.4
kashi,,,,,,,,
la uribe,,,,,,,,
tuktoyaktuk,20,CA,4,85,69.44,-133.03,12.2,11.41
dingle,32,PH,4,80,11,122.67,77.57,13.78
komsomolskiy,56,RU,4,68,67.55,63.78,-10.32,4.61
saint-leu,20,RE,4,61,-21.15,55.28,78.8,6.93
parana,20,BR,4,88,-7.52,-72.89,80.6,2.04
zaporizhzhya,90,UA,4,100,47.82,35.18,37.4,11.18
hithadhoo,92,MV,4,100,-0.6,73.08,82.97,4.38
kitob,0,UZ,4,93,39.12,66.88,39.2,6.93
khanpur,0,PK,4,89,28.65,70.66,52.69,6.29
port moresby,20,PG,4,74,-9.47,147.16,84.2,5.82
padang,40,ID,4,94,-0.92,100.36,77,2.24
half moon bay,90,US,4,81,37.46,-122.43,57.99,5.82
port lincoln,88,AU,4,96,-34.72,135.86,66.37,9.64
beipiao,76,CN,4,59,41.8,120.76,37.34,4.72
jalu,0,LY,4,84,29.03,21.55,48.77,8.41
walvis bay,44,NA,4,82,-22.95,14.51,68,10.29
vestmannaeyjar,36,IS,4,100,63.44,-20.27,28.39,7.63
merke,68,KZ,4,89,42.87,73.19,19.39,1.81
bredasdorp,12,ZA,4,72,-34.53,20.04,64.4,1.12
leningradskiy,92,RU,4,100,69.38,178.42,11.69,4.38
sulechow,40,PL,4,75,52.08,15.63,45,19.46
san policarpo,92,PH,4,92,12.18,125.51,78.79,14
kiunga,36,PG,4,83,-6.12,141.3,80.77,2.82
udachnyy,20,RU,4,83,66.42,112.4,10.21,5.84
osakarovka,0,KZ,4,79,50.56,72.58,11.11,14.67
nguiu,,,,,,,,
huilong,92,CN,4,97,28.89,110.18,45.76,2.93
weiser,75,US,4,37,44.25,-116.97,50,6.93
tazovskiy,56,RU,4,88,67.47,78.7,15.47,20.6
tynda,0,RU,4,66,55.15,124.74,4.09,5.06
nanyamba,64,MZ,4,95,-10.69,39.81,76.36,5.28
dakar,0,SN,4,56,14.69,-17.45,68,19.46
petropavlovsk-kamchatskiy,0,RU,4,51,53.05,158.65,12.2,2.24
kihei,40,US,4,50,20.76,-156.45,75.99,20.8
padilla,75,CO,4,69,3.23,-76.31,78.8,2.24
sjenica,36,RS,4,74,43.27,20,28.75,3.71
marsh harbour,0,BS,4,93,26.54,-77.06,78.56,8.52
haines junction,12,CA,4,81,60.75,-137.51,12.55,2.59
shahreza,0,IR,4,68,32.01,51.87,11.24,4.16
hunza,,,,,,,,
virginia beach,40,US,4,64,36.85,-75.98,44.6,4.7
puerto madryn,24,AR,4,57,-42.77,-65.04,66.91,12.77
codrington,40,AU,4,73,-28.95,153.24,80.6,4.27
solovetskiy,,,,,,,,
adrar,0,DZ,4,18,27.87,-0.29,62.6,10.29
dunedin,20,NZ,4,69,-45.87,170.5,75.77,8.08
broome,0,GB,4,75,52.47,1.45,42.01,17.22
konstantinovka,12,MD,4,79,47.99,28.86,35.01,8.63
nobeoka,0,JP,4,53,32.66,131.66,48.01,3.38
labutta,,,,,,,,
dogondoutchi,0,NE,4,33,13.64,4.03,75.28,7.74
saldanha,48,PT,4,84,41.42,-6.55,40.76,2.93
scottsburgh,,,,,,,,
carikar,,,,,,,,
tumannyy,,,,,,,,
vao,92,EE,4,96,59.1,26.19,30.1,9.86
lavrentiya,88,RU,4,97,65.58,-170.99,30.82,12.44
mersin,75,TR,4,93,36.81,34.63,52,4.7
maple creek,0,CA,4,70,49.91,-109.46,6.97,14.56
bondo,24,CD,4,83,3.81,23.69,73.84,1.92
korla,,,,,,,,
visnes,80,NO,4,93,59.36,5.22,42.01,3.36
kantunilkin,40,MX,4,74,21.1,-87.49,80.6,10.29
cabo san lucas,5,MX,4,47,22.89,-109.91,82,5.82
samarai,64,PG,4,100,-10.62,150.67,78.92,2.71
adiake,0,CI,4,79,5.29,-3.3,84.2,9.17
tromso,90,NO,4,85,69.65,18.96,10.4,13.87
ballina,75,IE,4,100,54.11,-9.15,41,6.93
fallon,40,US,4,71,46.84,-105.12,6.8,26.4
taoudenni,0,ML,4,25,22.68,-3.98,53.14,6.06
clarksburg,1,US,4,55,39.24,-77.28,36,14.99
rabo de peixe,75,PT,4,93,37.8,-25.58,62.6,23.04
narsaq,75,GL,4,63,60.91,-46.05,26.6,3.36
merauke,12,ID,4,92,-8.49,140.4,83.42,5.61
la fria,40,VE,4,58,8.22,-72.25,86,5.82
nanortalik,36,GL,4,100,60.14,-45.24,24.25,6.62
plymouth,40,GB,4,93,50.37,-4.14,45,2.24
erie,90,US,4,72,42.13,-80.09,19,14.99
zhigansk,76,RU,4,69,66.77,123.37,-1.68,5.61
chara,0,GR,4,75,39.42,22.43,42.8,2.37
puerto del rosario,75,ES,4,68,28.5,-13.86,64.4,13.87
male,48,UA,4,90,50.74,33.7,36.58,11.99
waipawa,0,NZ,4,44,-39.94,176.59,75.99,1.99
cintalapa,0,MX,4,61,16.7,-93.73,77.84,9.86
madison,1,US,4,55,43.07,-89.38,8.6,13.87
cidreira,0,BR,4,77,-30.17,-50.22,78.25,16.24
findhorn,0,GB,4,93,57.66,-3.61,39.2,4.7
comodoro rivadavia,20,AR,4,27,-45.87,-67.48,64.4,26.4
grand river south east,,,,,,,,
boffa,32,GN,4,86,10.18,-14.04,74.47,6.62
filadelfia,76,PY,4,40,-22.35,-60.04,95.62,14.45
semporna,75,MY,4,94,4.48,118.61,73.4,8.75
livingston,1,US,4,60,32.58,-88.19,41,9.17
luderitz,0,NA,4,72,-26.65,15.16,65.65,20.71
durazno,92,UY,4,97,-33.38,-56.52,68.26,7.07
sioux lookout,90,CA,4,65,50.1,-91.92,6.8,5.82
saleaula,,,,,,,,
luis correia,80,BR,4,98,-2.88,-41.67,74.92,3.6
sitka,0,US,4,58,37.17,-99.65,18,8.01
springbok,0,ZA,4,87,-29.67,17.88,57.28,3.38
